lat,classic,architecture,comfort,number_of_levels_basement_excl,interior design,town,price_detail,modern,barn,parquet,garage,yard,landscape,fireplace,patio,living_space_area_basement_excl,sold_in,villa,scenic,building_dimensions,long,minimalist,address,number_of_bathrooms,hotel,suburb,porch,total_number_of_rooms,environment,swimming pool,travel,number_of_bedrooms,gazebo,pool,url,flora,luxury,contemporary,mansion,lot_dimensions,year_sold,month_sold,pavement,old,municipal_assessment,asking_price,final_amount,property_style,backyard_faces,number_of_half_baths,year_of_construction,bathroom_details,bedroom_details,located_on_which_floor_if_condo,ownership,number_of_exterior_parking
45.5082323,0,1,1,,1,Pierrefonds / Roxboro,available_now,0,0,0,0,1,0,0,0,89.19,23,0,0,89.19,-73.7841167,0,4848 boulevard Lalande,1,0,1,0,,0,0,0,4,0,0,http://duproprio.com//home-for-sale-pierrefonds-roxboro-quebec-en-622754,0,1,1,0,534.19,2015,8,0,0,281500,285000,275000,detached,south_west,1,1972,,,,,
45.60576662763793,0,1,0,2,1,Anjou,no_agents,0,0,1,0,0,0,0,1,127.28,26,0,0,60.2,-73.53784561157227,1,5364 rue Baldwin,1,1,0,0,7,0,0,0,3,0,0,http://duproprio.com//house-for-sale-anjou-quebec-en-616318,0,1,1,0,124.95,2015,8,0,0,314500,347000,338000,townhouse,south_west,1,1998,,,,,
45.6258521,0,1,0,1,1,Riviï¿½re des Prairies,no_agents,0,0,0,0,1,0,0,0,101.95,13,0,0,11.89,-73.5905999,1,11580 rue La Valiniï¿½re,1,1,0,1,10,0,0,0,3,0,0,http://duproprio.com//home-for-sale-riviere-des-prairies-quebec-en-615075,0,1,1,0,478.4,2015,8,0,0,344500,348000,340000,detached,south_west,1,1974,,,,,
45.5631058,0,1,0,2,1,Villeray / St-Michel / Parc-Extension,,1,0,1,0,0,0,0,0,162.58,157,0,0,,-73.59781470000001,1,3585 rue Everett,1,1,0,0,8,0,0,1,3,0,0,http://duproprio.com//house-for-sale-villeray-st-michel-parc-extension-quebec-en-584354,0,1,1,0,464.52,2015,8,1,0,,439000,434000,townhouse,,1,,,,,,
45.6011476,0,1,0,1,1,Anjou,completely_renovated,0,0,0,0,1,0,0,1,111.48,80,1,0,11.89,-73.54536150000001,1,7861 avenue du Mail,2,1,0,1,9,0,0,0,2,0,0,http://duproprio.com//home-for-sale-anjou-quebec-en-463765,0,1,1,0,490.06,2015,8,0,0,,548500,530000,detached,west,,1957,,,,,
45.47093479999999,0,1,0,2,0,South-West Montreal,available_now,0,0,0,0,1,1,0,0,7.65,39,0,0,7.65,-73.586792,0,149 rue Butternut,2,0,1,0,7,1,0,0,2,0,0,http://duproprio.com//house-for-sale-montreal-sud-ouest-quebec-en-618936,0,0,0,1,280,2015,8,1,0,340000,354900,350000,2_storey,north_east,,1910,,,,,
45.4378587,0,1,0,2,1,Verdun,completely_renovated,0,0,0,0,1,0,0,0,88.26,33,0,0,56.21,-73.5851139,1,1283 rue Lloyd George,2,1,0,1,8,0,0,0,4,0,0,http://duproprio.com//home-for-sale-verdun-quebec-en-622106,0,1,1,0,430.34,2015,8,0,0,,495000,472000,detached,south_east,1,1950,,,,,
45.5283236,0,1,1,2,1,Ahuntsic / Cartierville,new_price,0,0,0,0,1,0,1,0,213.68,156,0,0,153.29,-73.70458289999999,0,11825 rue de Tracy,2,0,0,1,11,0,0,0,5,0,0,http://duproprio.com//home-for-sale-ahuntsic-cartierville-quebec-en-560648,0,1,1,0,418.25,2015,8,0,0,,,,detached,north_east,,1956,,,,,
45.4453794,0,0,0,2,1,Lachine,new_price,0,0,1,0,0,0,0,0,137.87,375,0,0,11.31,-73.68940659999998,1,30 terrasse Louis-Basile-Pigeon,1,0,0,0,7,0,0,0,3,0,0,http://duproprio.com//house-for-sale-lachine-quebec-en-531624,0,1,1,0,157.94,2015,7,0,0,344800,349900,339000,,south,1,1987,,,,,
45.5298395,0,1,1,2,1,Le Plateau-Mont-Royal,,0,0,0,0,1,0,0,1,116.13,642,0,0,,-73.58091609999997,0,4669 rue de la Roche,2,1,0,1,,0,0,1,3,0,0,http://duproprio.com//house-for-sale-plateau-mont-royal-quebec-en-466541,1,1,1,0,185.81,2015,7,0,1,,,,2_storey,,,1885,,1_bureau_fermï¿½,,,
45.4396819,0,1,0,2,0,Pointe-Claire,price_taxes_included,0,0,0,0,0,0,0,0,210.52,85,0,0,14.33,-73.80522259999998,0,28 avenue Fifth,3,0,0,0,,0,0,0,3,0,0,http://duproprio.com//new-home-for-sale-pointe-claire-quebec-en-607642,0,0,1,1,510.97,2015,7,0,0,,715000,715000,new_construction,south_west,1,2015,,,,,
45.50616644256553,0,1,0,2,1,Pierrefonds / Roxboro,several_upgrades,0,0,0,0,1,0,0,0,209.03,71,0,0,12.19,-73.76877307891846,0,4956 rue Fï¿½lix-McLernan,3,1,0,1,11,0,0,0,4,0,0,http://duproprio.com//home-for-sale-pierrefonds-roxboro-quebec-en-609564,0,1,1,0,510.97,2015,7,0,0,,,,,west,1,1987,,,,,
45.5619214,0,1,0,3,1,Rosemont / La Petite Patrie,urgent,0,0,0,0,0,0,0,0,116.03,150,0,0,4.3,-73.57524419999999,1,5996 avenue 23e,1,1,1,0,7,0,0,0,3,0,0,http://duproprio.com//house-for-sale-rosemont-petite-patrie-quebec-en-581715,0,1,1,0,5.86,2015,7,0,0,396600,397000,365000,semi_detached,south_west,1,2000,,,,,
45.62271519999999,0,1,0,2,1,Riviï¿½re des Prairies,price_taxes_included,0,0,1,0,0,0,0,0,202.9,107,1,0,12.8,-73.5951321,1,11512 rue Edith-Serei,2,0,0,1,,0,0,0,3,0,0,http://duproprio.com//new-home-for-sale-riviere-des-prairies-quebec-en-593500,0,1,1,1,832.13,2015,7,0,0,,649900,649900,new_construction,south_east,2,2014,,,,,
45.4585295,0,1,0,3,1,South-West Montreal,divided,1,0,0,0,0,0,0,0,152.18,24,0,0,75.65,-73.5902967,0,5986 rue Eadie,1,1,0,0,8,0,0,0,3,0,0,http://duproprio.com//house-for-sale-montreal-sud-ouest-quebec-en-621303,0,1,1,0,114.23,2015,7,0,1,401300,474999,465000,semi_detached,south_east,2,2009,,,,,
45.4768683,0,1,1,2,1,Cï¿½te-des-Neiges / Notre-Dame-de-Grï¿½ce,no_agents,0,0,0,0,0,0,0,0,134.5,63,0,0,67.3,-73.62349770000003,0,4367 avenue old orchard,1,1,1,1,7,0,0,0,3,0,0,http://duproprio.com//house-for-sale-cote-des-neiges-quebec-en-610472,0,1,1,0,219.5,2015,7,1,0,544000,699000,640000,2_storey,north,1,1928,,,,,
45.4627742,0,1,0,1,1,Kirkland,negotiable,0,0,1,0,1,1,0,0,12.84,104,0,0,12.84,-73.85990700000002,0,11 rue Piper,2,0,1,1,12,1,0,1,4,0,0,http://duproprio.com//home-for-sale-kirkland-quebec-en-593811,0,1,1,0,30.48,2015,7,0,0,370000,369000,349000,detached,,1,1971,,,,,
45.6748337,0,0,0,2,1,Riviï¿½re des Prairies,with_garage,0,0,0,0,0,0,1,0,124.4,124,0,0,9.14,-73.53609059999997,0,11297 boulevard Perras,1,1,0,0,9,0,0,0,3,0,0,http://duproprio.com//house-for-sale-riviere-des-prairies-quebec-en-585382,0,1,1,0,181,2015,7,0,0,312000,339900,330000,semi_detached,north,1,2011,,,,,
45.5443679,0,1,0,2,1,Ahuntsic / Cartierville,available_now,0,0,0,0,0,0,1,0,,56,0,0,7.92,-73.67233929999998,1,10574 rue Verville,1,1,0,0,,0,0,1,3,0,0,http://duproprio.com//house-for-sale-ahuntsic-cartierville-quebec-en-506161,0,1,1,0,348.39,2015,7,0,0,,,,,,1,1952,,,,,
45.44575555227992,0,1,1,2,1,Lachine,reduced_price,0,0,0,0,0,0,1,1,133.78,889,0,0,66.89,-73.69367122650146,0,947 rue Gameroff,1,1,0,0,8,0,0,1,3,0,0,http://duproprio.com//house-for-sale-lachine-quebec-en-390535,0,1,1,0,123.93,2015,7,1,1,,,,divided_co_ownership,south,1,2007,bain_podium,plancher_de_bois_franc_dans_toutes_les_chambres_walk_in_chambre_des_maï¿½tres,,,
45.50445,0,1,0,1,1,L'ile-Bizard / Sainte-Geneviï¿½ve,,0,0,0,0,1,0,0,0,144,18,0,0,12.8,-73.8628236,0,10 rue ï¿½mile,2,0,0,0,,0,0,0,5,0,0,http://duproprio.com//home-for-sale-ile-bizard-quebec-en-528907,1,1,1,1,1104.25,2015,7,0,0,,439000,,,,,,,,,,
